year,state,stt,candidate,candidatevotes,totalvotes,rvote
2008,Alabama,AL,"McCain, John",1266546,2099819,0.603169130291706
2008,Arizona,AZ,"McCain, John",1230111,2293475,0.5363524782262724
2008,Arkansas,AR,"McCain, John",638017,1086617,0.5871590449992959
2008,California,CA,"McCain, John",5011781,13561900,0.36954858832464477
2008,Colorado,CO,"McCain, John",1073589,2401361,0.4470752210933716
2008,Connecticut,CT,"McCain, John",629428,1646792,0.3822146330562694
2008,Delaware,DE,"McCain, John",152374,412412,0.36947033548975294
2008,District of Columbia,DC,"McCain, John",17367,265853,0.06532557465968035
2008,Florida,FL,"McCain, John",4045624,8390744,0.4821531916597622
2008,Georgia,GA,"McCain, John",2048759,3924486,0.5220451799292952
2008,Hawaii,HI,"McCain, John",120566,456064,0.2643620193657031
2008,Idaho,ID,"McCain, John",403012,655122,0.6151709147303861
2008,Illinois,IL,"McCain, John",2031179,5522371,0.36780922542147204
2008,Indiana,IN,"McCain, John",1345648,2751054,0.4891390717884854
2008,Iowa,IA,"McCain, John",682379,1537123,0.4439325935530208
2008,Kansas,KS,"McCain, John",699655,1235872,0.5661225434349189
2008,Kentucky,KY,"McCain, John",1048462,1826620,0.5739902114287592
2008,Louisiana,LA,"McCain, John",1148275,1960761,0.5856272131075638
2008,Maine,ME,"McCain, John",295273,731163,0.40384018337908234
2008,Maryland,MD,"McCain, John",959862,2631596,0.364745196451127
2008,Massachusetts,MA,"McCain, John",1108854,3102995,0.3573495928933176
2008,Michigan,MI,"McCain, John",2048639,5001596,0.40959705661952706
2008,Minnesota,MN,"McCain, John",1275409,2910369,0.43822931044139074
2008,Mississippi,MS,"McCain, John",724597,1289865,0.5617618898101739
2008,Missouri,MO,"McCain, John",1445814,2925205,0.49426074411878823
2008,Montana,MT,"McCain, John",242763,490109,0.495324509445858
2008,Nebraska,NE,"McCain, John",452979,801281,0.5653185336979162
2008,Nevada,NV,"McCain, John",412827,967848,0.42654115108984053
2008,New Hampshire,NH,"McCain, John",316534,710970,0.44521428470962204
2008,New Jersey,NJ,"McCain, John",1613207,3868237,0.4170393385927491
2008,New Mexico,NM,"McCain, John",346832,830158,0.4177903483433274
2008,New York,NY,"McCain, John",2752771,7722019,0.3564833238561055
2008,North Carolina,NC,"McCain, John",2128474,4310851,0.49374798618648613
2008,North Dakota,ND,"McCain, John",168601,316621,0.5325010027761898
2008,Ohio,OH,"McCain, John",2677820,5708350,0.4691057836327485
2008,Oklahoma,OK,"McCain, John",960165,1462661,0.656450811226935
2008,Oregon,OR,"McCain, John",738475,1827864,0.40400981692292204
2008,Pennsylvania,PA,"McCain, John",2655885,6013272,0.4416705247991443
2008,Rhode Island,RI,"McCain, John",165391,471766,0.35057846474735355
2008,South Carolina,SC,"McCain, John",1034896,1920969,0.5387364397863786
2008,South Dakota,SD,"McCain, John",203054,381975,0.5315897637279927
2008,Tennessee,TN,"McCain, John",1479178,2599749,0.5689695428289423
2008,Texas,TX,"McCain, John",4479328,8077795,0.5545236045232641
2008,Utah,UT,"McCain, John",596030,952370,0.6258386971450172
2008,Vermont,VT,"McCain, John",98974,325046,0.30449228724549754
2008,Virginia,VA,"McCain, John",1725005,3723260,0.46330500690255316
2008,Washington,WA,"McCain, John",1229216,3036878,0.40476304942114893
2008,West Virginia,WV,"McCain, John",397466,713451,0.5571034310695478
2008,Wisconsin,WI,"McCain, John",1262393,2983417,0.4231366248834809
2008,Wyoming,WY,"McCain, John",164958,254904,0.6471377459749553
